Place,ImageURL
Shravanabelagola (Gomateshwara Statue),https://upload.wikimedia.org/wikipedia/commons/8/8e/Shravanabelagola_Gomateshwara.jpg
Belur & Halebidu Hoysala Temples,https://upload.wikimedia.org/wikipedia/commons/5/5f/Hoysaleswara_Temple_Belur.jpg
Somanathapura (Keshava Temple),https://upload.wikimedia.org/wikipedia/commons/5/5c/Keshava_Temple_Somanathapura.jpg
Bandipur National Park,https://upload.wikimedia.org/wikipedia/commons/8/8b/Bandipur_National_Park.jpg
Nagarhole (Kabini),https://upload.wikimedia.org/wikipedia/commons/9/9b/Nagarhole_National_Park.jpg
Shivanasamudra Falls,https://upload.wikimedia.org/wikipedia/commons/5/5c/Shivanasamudra_Falls.jpg
BR Hills (Biligirirangana Hills),https://upload.wikimedia.org/wikipedia/commons/4/4b/Biligirirangan_Hills.jpg
Coorg (Madikeri),https://upload.wikimedia.org/wikipedia/commons/5/5b/Coorg.jpg
Chikmagalur,https://upload.wikimedia.org/wikipedia/commons/8/8c/Chikmagalur.jpg
Jog Falls,https://upload.wikimedia.org/wikipedia/commons/5/5b/Jog_Falls.jpg
Dandeli,https://upload.wikimedia.org/wikipedia/commons/9/9e/Dandeli_Wildlife_Sanctuary.jpg
Agumbe,https://upload.wikimedia.org/wikipedia/commons/5/5d/Agumbe.jpg
Sakleshpur,https://upload.wikimedia.org/wikipedia/commons/8/8f/Sakleshpur.jpg
Kudremukh National Park,https://upload.wikimedia.org/wikipedia/commons/9/9c/Kudremukh_National_Park.jpg
Kemmanagundi,https://upload.wikimedia.org/wikipedia/commons/5/5e/Kemmanagundi.jpg
Murudeshwara,https://upload.wikimedia.org/wikipedia/commons/5/5c/Murudeshwara.jpg
Gokarna,https://upload.wikimedia.org/wikipedia/commons/5/5d/Gokarna.jpg
Udupi Sri Krishna Temple,https://upload.wikimedia.org/wikipedia/commons/5/5c/Udupi_Sri_Krishna_Temple.jpg
St. Mary's Islands,https://upload.wikimedia.org/wikipedia/commons/5/5b/St._Mary%27s_Islands.jpg
Mangaluru,https://upload.wikimedia.org/wikipedia/commons/5/5c/Mangalore.jpg
Dharmasthala,https://upload.wikimedia.org/wikipedia/commons/5/5c/Dharmasthala.jpg
Kapu Beach,https://upload.wikimedia.org/wikipedia/commons/5/5c/Kapu_Beach.jpg
Karwar,https://upload.wikimedia.org/wikipedia/commons/5/5c/Karwar.jpg
Hampi,https://upload.wikimedia.org/wikipedia/commons/5/5b/Hampi.jpg
Badami Cave Temples,https://upload.wikimedia.org/wikipedia/commons/5/5b/Badami_Cave_Temples.jpg
Gol Gumbaz,https://upload.wikimedia.org/wikipedia/commons/5/5c/Gol_Gumbaz.jpg
Aihole (Durga Temple),https://upload.wikimedia.org/wikipedia/commons/5/5d/Durga_Temple_Aihole.jpg
Pattadakal,https://upload.wikimedia.org/wikipedia/commons/5/5c/Pattadakal.jpg
Bidar Fort,https://upload.wikimedia.org/wikipedia/commons/5/5b/Bidar_Fort.jpg
Kalaburagi Jama Masjid,https://upload.wikimedia.org/wikipedia/commons/5/5c/Gulbarga_Jama_Masjid.jpg
Lakkundi,https://upload.wikimedia.org/wikipedia/commons/5/5d/Lakkundi.jpg
Kudalasangama,https://upload.wikimedia.org/wikipedia/commons/5/5c/Kudalasangama.jpg
Raichur Fort,https://upload.wikimedia.org/wikipedia/commons/5/5b/Raichur_Fort.jpg
Gudavi Bird Sanctuary,https://upload.wikimedia.org/wikipedia/commons/5/5d/Gudavi_Bird_Sanctuary.jpg
Basavakalyana,https://upload.wikimedia.org/wikipedia/commons/5/5c/Basavakalyana.jpg
Vidhana Soudha,https://upload.wikimedia.org/wikipedia/commons/5/55/Vidhana_Soudha_Front_View.jpg
Lalbagh (Glasshouse),https://upload.wikimedia.org/wikipedia/commons/5/5c/Lalbagh_Glasshouse.jpg
Cubbon Park,https://upload.wikimedia.org/wikipedia/commons/8/82/Cubbon_Park_Bangalore.jpg
Mysore Palace,https://upload.wikimedia.org/wikipedia/commons/5/5b/Mysore_Palace.jpg
Brindavan Gardens,https://upload.wikimedia.org/wikipedia/commons/5/5c/Brindavan_Gardens.jpg
Chitradurga Fort,https://upload.wikimedia.org/wikipedia/commons/5/5a/Chitradurga_Fort.jpg
Nandi Hills,https://upload.wikimedia.org/wikipedia/commons/5/5d/Nandi_Hills.jpg
